word,frequency_classification,definition,word_types,word_endings,sentences
abajgat,1,"(népi) (Állatot, esetleg személyt) kerget, hajszol.",ige,~ni,"Ne abajgasd a kiscsibéket!,Piszkál, zaklat, nyaggat valakit, valamit.,Ha folyton abajgatsz, nem tudok dolgozni.,Ne abajgasd azt az órát, mert elrontod!,(régi) Ordítva kiabál.,A vásár zajából csak akkor hallunk valamit, ha egy árus vagy kocsis hangosan abajgat."
abakusz,1,Ókori számolótábla vagy számolóasztal.,fn,"~ok,~t,~a","Az abakuszon korongok vagy kövek képviselték a számjegyeket, ezek mozgatásával lehetett szorozni és osztani.,(Az ókori görög építészetben:) Az oszlopfőnek a terhelést átvevő, négyzetes vagy kerek záróeleme.,Az építőmunkások már az abakuszt faragták."
abál,1,Ízesített lében rövid ideig főz valamit.,ige,,"Szalonnát abál, aztán megpaprikázza."
abaposztó,1,"Durva, festetlen posztó.",fn,,"A székely viselet abaposztóból készül.,(Jelzőként:) Abaposztó zekét hord."
abbahagy,5,Nem folytat tovább valamit.,ige,,Családi okokból abbahagyta tanulmányait.
abbamarad,3,Nem folytatódik.,ige,,A váratlan zápor miatt abbamaradt a szabadtéri előadás.
ábécé,3,Egy nyelv betűinek összessége.,fn,"~t,~je","Leírja a görög ábécét.,Betűrend.,Sorold szoros ábécébe a megadott szavakat!,Az írás- olvasás ismerete.,Már megtanulta az ábécét.,Valamire vonatkozó elemi ismeretek összessége.,Elsajátította a számítógép kezelésének ábécéjét.,Élelmiszerbolt.,Lemegyek az ábécébe tejért."
ablak,5,"Épületen, járművön a világosság és a levegő bebocsátására való (zárható) nyílás.",fn,"~ot,~a","Nyisd ki az ablakot, hadd jöjjön be egy kis friss levegő!,Egy kis ablakon át leolvasható a mérőóra állása.,(átvitt) A televízió ablak a világra, segítségével tudomást lehet szerezni a nagyvilág eseményeiről.,(Számítógép képernyőjén) kerettel határolt téglalap alakú terület, melyben dokumentum vagy információ van vagy lehet.,Nyiss egy új ablakot a szövegszerkesztőben, és másold át oda ezt az oldalt!"
ábra,5,"Vázlatos szemléltető rajz, kép.",fn,"*k,*t,*ja","A szöveget ábrákkal tették érthetőbbé.,(szleng) Helyzet.,Mi az ábra?"
abrak,3,"Szemes vagy más, nem szálas takarmány.",fn,"~ot,~ja","Abrakot ad a lovának.,(tréfás) Ennivaló.,Valami abrakot is kell venni."
abrakadabra,1,Keleti varázsszó.,fn,"*k,*t,*ja","Abrakadabra!,– mormolta a varázsló, és az oroszlán kisegérré változott.,Értelmetlen beszéd.,Abrakadabrával még senki nem oldotta meg a problémáját."
ábránd,4,"(választékos) (Megvalósíthatatlan) elképzelés, vágy, tervezgetés.",fn,"~ot,~ja",Sokszor nagy a különbség ábránd és valóság között.
ábrázat,4,Arckifejezés.,fn,"~ot,~a","Savanyú az ábrázata, mert becsapták."
ábrázol,5,"Rajzzal, képpel szemléltet.",ige,,"A beteg hőmérsékletének alakulását grafikonnal ábrázolják a lázlapon.,Technikai eszközzel megjelenít.,A fénykép egy távoli rokont ábrázol.,Művészi eszközökkel bemutat.,A dráma Galilei életét ábrázolja."
abroncs,3,"Gyűrűszerű, szoros összetartó pánt.",fn,"~ot,~a","Abroncsot tesz a hordóra.,Gumiabroncs.,Új abroncsokat vett az autójára."
abrosz,4,Általában étkezéshez használt asztalterítő.,fn,"~t,~a","Fehér abrosszal terítette meg az ünnepi asztalt.,(régi) Térkép."
acél,4,Edzett vasötvözet.,fn,"~t,~ja","A kés pengéje acélból van.,(Jelzőként:) Acél mérőszalagot vett elő a zsebéből.,Rendkívül erős, szívós.,Minden izma csupa acél.,(Jelzőként:) Acél idegrendszere van.,A kard pengéje.,Szikrát hányt az acél, amint a vitézek összecsaptak."
achtel,1,(Őv bizalmas) A liter nyolcadrésze.,szn,,"Annyira ízlett neki a bor, hogy több achtelt megivott belőle."
ács,4,Épületek fedélszerkezetét készítő és más famunkákat vállaló iparos.,fn,"~ot,~a",Ácsok dolgoznak a ház tetején.
ácsi,2,"(népi) (Rendszerint mulatás közben, muzsikáló cigányokhoz szólva:) Hagyd abba!",msz,,"Ácsi!,Hallgassuk meg a pohárköszöntőt!,„kiváncsian fordult a király hozzája: – Ácsi, kis lány, ácsi!,Miért vagyok rossz bácsi?” (Móra F.: A didergő király)"
