word,frequency,word_class,word_endings,example_sentences
abajgat,1,ige,ni,"(Állatot, esetleg személyt) kerget, hajszol. Ne abajgasd a kiscsibéket! Piszkál, zaklat, nyaggat valakit, valamit. abajgatsz, nem tudok dolgozni. Ne abajgasd azt az órát, mert elrontod! (régi) Ordítva kiabál. A vásár zajából csak akkor hallunk valamit, ha egy árus vagy kocsis hangosan abajgat."
abakusz,1,fn,ok t a,"Ókori számolótábla vagy számolóasztal. Az abakuszon korongok vagy kövek képviselték a számjegyeket, ezek mozgatásával lehetett szorozni és osztani. (Az ókori görög építészetben:) Az oszlopfőnek a terhelést átvevő, négyzetes vagy kerek Az építőmunkások már az abakuszt faragták."
abál,1,ige,,"Ízesített lében rövid ideig főz valamit. Szalonnát abál, aztán megpaprikázza."
abaposztó,1,fn,,"Durva, festetlen posztó. A székely viselet abaposztóból készül. Abaposztó zekét hord."
abbahagy,5,ige,,Nem folytat tovább valamit. Családi okokból abbahagyta tanulmányait.
abbamarad,3,ige,,Nem folytatódik. A váratlan zápor miatt abbamaradt a szabadtéri előadás.
ábécé,3,fn,t je,Egy nyelv betűinek összessége. Leírja a görög ábécét. Sorold szoros ábécébe a megadott szavakat! olvasás ismerete. Már megtanulta az ábécét. Valamire vonatkozó elemi ismeretek összessége. Elsajátította a számítógép kezelésének ábécéjét. Élelmiszerbolt. Lemegyek az ábécébe tejért.
ablak,5,fn,ot a,"Épületen, járművön a világosság és a levegő bebocsátására való (zárható) nyílás. Nyisd ki az ablakot, hadd jöjjön be egy kis friss levegő! Egy kis ablakon át leolvasható a mérőóra állása. A televízió ablak a világra, segítségével tudomást lehet szerezni a nagyvilág eseményeiről. (Számítógép képernyőjén) kerettel határolt téglalap alakú terület, melyben dokumentum vagy információ van vagy lehet. Nyiss egy új ablakot a szövegszerkesztőben, és másold át oda ezt az oldalt!"
ábra,5,fn,,"Vázlatos szemléltető rajz, kép. A szöveget ábrákkal tették érthetőbbé. (szleng) Helyzet."
abrak,3,fn,ot ja,"Szemes vagy más, nem szálas takarmány. Abrakot ad a lovának. (tréfás) Ennivaló. Valami abrakot is kell venni."
abrakadabra,1,fn,,"Keleti varázsszó. Abrakadabra! – mormolta a varázsló, és az oroszlán kisegérré változott. Értelmetlen beszéd. Abrakadabrával még senki nem oldotta meg a problémáját."
ábránd,4,fn,ot ja,"(választékos) (Megvalósíthatatlan) elképzelés, vágy, tervezgetés. Sokszor nagy a különbség ábránd és valóság között."
ábrándoz|ik,5,ige,,"(Megvalósíthatatlan) dolgokat elképzel. Nem halad a munkával, folyton csak ábrándozik. Egy afrikai utazásról ábrándozik, vágyakozva gondol rá."
ábrázat,4,fn,ot a,"Arckifejezés. Savanyú az ábrázata, mert becsapták."
ábrázol,5,ige,,"Rajzzal, képpel szemléltet. A beteg hőmérsékletének alakulását grafikonnal ábrázolják a lázlapon. Technikai eszközzel A fénykép egy távoli rokont ábrázol. Művészi eszközökkel bemutat. A dráma Galilei életét ábrázolja."
abroncs,3,fn,ot a,"Gyűrűszerű, szoros összetartó pánt. Abroncsot tesz a hordóra. Új abroncsokat vett az autójára."
abrosz,4,fn,t a,Általában étkezéshez használt asztalterítő. Fehér abrosszal terítette meg az ünnepi asztalt. (régi) Térkép.
acél,4,fn,t ja,"Edzett vasötvözet. A kés pengéje acélból van. Acél mérőszalagot vett elő a zsebéből. Rendkívül erős, szívós. Minden izma csupa acél. Acél idegrendszere van. A kard pengéje. Szikrát hányt az acél, amint a vitézek összecsaptak."
achtel,1,szn,,"szn (Őv bizalmas) A liter nyolcadrésze. Annyira ízlett neki a bor, hogy több achtelt megivott belőle."
ács,4,fn,ot a,Épületek fedélszerkezetét készítő és más famunkákat vállaló iparos. Ácsok dolgoznak a ház tetején.
acsarkod|ik,2,ige,,"Dühösen kiabál, veszekszik. A rossz szomszédok évek óta folyton acsarkodnak. (Kutya) fogát vicsorgatva hangot ad. kutya dühösen acsarkodott rá a kerítés mögül."
ácsi,2,msz,,"(Rendszerint mulatás közben, muzsikáló cigányokhoz szólva:) Hagyd abba! Ácsi! Hallgassuk meg a pohárköszöntőt! „kiváncsian fordult a király hozzája: – Ácsi, kis lány, ácsi! Miért vagyok rossz bácsi?” (Móra F.: A didergő király)"
ácsingóz|ik,1,ige,,"Nagyon szeretne valamit. Egy jó töltőtollra ácsingózik. Vágyakozva, nézelődve ácsorog. Sokáig ácsingózott a kirakat Órákig ácsingózott az utcán, de a barátja nem jött."
ácsol,3,ige,,Ácsmunkát végez. A munkások egész nap ácsoltak. Ácsmunkával faanyagból készít valamit. Állványzatot ácsol a ház
ácsorog,4,ige,,Tétlenül vagy várakozva hosszabb ideig áll. Ráérősen ácsorog a kapu előtt. Húsz percig ácsorgott a villamosmegállóban.
